,State,City,Job Sites,URL
1398,Oklahoma,Jenks,"Oklahoma Gas and Electric Company
Public Service Company of Oklahoma
Pso Riverside Gen Sta
Riverside Station Unit 1",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1399,Oklahoma,Konawa,"Ogande Seminole Gen
Seminole Generating Station
Oklahoma Gas & Electric Company",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1400,Oklahoma,Lawton,"Cherokee Power House
Goodyear Tire and Rubber Oc.
Public Service Company of Oklahoma
Fort Sill Army Base
Lawton Generating Plant
Southwestern Light & Power Company",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1401,Oklahoma,McAlester,"Choctaw Railway and Lighting Company
Hudgens Construction Company
Oklahoma State Penitentiary
S. Naval Ammunition Depot
Chostaw Power and Light Company
Naval Ammunition Depot
State Penitentiary
Union Iron Works",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1402,Oklahoma,Norman,"Central Oklahoma State Hospital
Naval Air Station
Central State Griffin Memorial Hospital
University of Oklahoma",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1403,Oklahoma,Okmulgee,"Alliance America
Oklahoma State Tech Dorms
Phillips Petroleum Company
Barnsdale Refineries Inc.
Okmulgee Hospital
Phillips Refinery",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1404,Oklahoma,Oologah,"Northeastern Station
Pso Ne Gen Station
Oologah Power Station
Public Service Company of Oklahoma",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1405,Oklahoma,Pryor,"Cherokee Nitrogen Plant
Grand River Dam Authority
Kaiser Chemical
I. Du Pont De Nemours
Gulf Oil Corporation
Oklahoma Cement Company",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1406,Oklahoma,Altus,"Altus Air Force Base
Industrial Insulators, Inc.
R. Baum",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1407,Oklahoma,Anadarko,"Pso Sw Gen Station
Washita Power Plant
Western Farmers Power Plant
Public Service Oklahoma
Western Farmers Electric Corporation",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1408,Oklahoma,Ardmore,"Ardmore Development Authority
Ultramar Diamond
Ben Franklin Refining Company
Uniroyal Plant",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
1409,Oklahoma,Sand Springs,"Armco Steel Plant
National Tank Company
Public Service Company of Oklahoma
Sinclair Refining Company
Kerr Glass Manufacturing Corp
Piping Engineering Company, Inc.
Sheffield Steel",https://www.swmwlaw.com/asbestos-exposure/asbestos-exposure-by-state/asbestos-exposure-oklahoma/
